"","source_country","source_country_code","target_country_code","target_country","z","distance","m_levenshtein_distance","cult_dist","gdp_ratio"
"1","Australia","AU","AU","Australia",0.417199947829462,0,0,"0",0
"2","Australia","AU","AT","Austria",0.00521493307431863,23141.857,72.61,"50.34879",2.77010252732598
"3","Australia","AU","BE","Belgium",0.00394036016758195,24115.428,66.45,"54.44263",1.63313061469036
"4","Australia","AU","BR","Brazil",0.00225860257183788,24771.594,95.45,"67.54258",33.9423497998383
"5","Australia","AU","BG","Bulgaria",0.00025130930024675,21553.156,90.99,"79.70571",33.0011729124701
"6","Australia","AU","CA","Canada",0.0139566793664461,23571.717,0,"14.10674",0.153908492639657
"7","Australia","AU","CL","Chile",0.00142408603473158,19968.678,92.25,"86.78709",26.0790453752809
"8","Australia","AU","CO","Colombia",0.00106037679429008,26041.463,92.25,"87.97727",36.9399013280507
"9","Australia","AU","HR","Croatia",0.0104903076259118,22750.42,87.63,"76.81145",27.4512499970458
"10","Australia","AU","CZ","Czech Republic",0.00580450257194391,22878.373,91.28,"42.54409",16.3386422175539
"11","Australia","AU","DK","Denmark",0.00458506925851032,23172.521,69.62,"58.21512",1.19201025232179
"12","Australia","AU","EE","Estonia",0.000406124312213102,21846.71,98.77,"44.24929",20.521291242679
"13","Australia","AU","FI","Finland",0.00117489748807341,21724.07,101.39,"45.02222",4.77113468430669
"14","Australia","AU","FR","France",0.0569358715926117,24520.229,92.06,"54.16641",6.14089177431319
"15","Australia","AU","DE","Germany",0.0194960877398175,23429.648,72.61,"27.40438",2.26218433689965
"16","Australia","AU","GR","Greece",0.00663477760187305,21631.043,96.26,"85.66212",21.812476045867
"17","Australia","AU","HK","Hong Kong",0.00471019372023655,9408.851,98.52,"75.82216",13.4774571119616
"18","Australia","AU","HU","Hungary",0.00442177123218965,22395.438,95.25,"43.47413",23.2099100626867
"19","Australia","AU","IS","Iceland",0.00257141372615345,24701.287,77.36,"59.48109",0.756422107248026
"20","Australia","AU","IN","India",0.00159692745220087,12255.211,97.04,"59.92495",46.19088435219
"21","Australia","AU","ID","Indonesia",0.019271287859428,5080.4575,100.84,"88.17029",40.3715118226032
"22","Australia","AU","IE","Ireland",0.00665916626814172,25261.092,0,"27.73085",5.83014244140412
"23","Australia","AU","IL","Israel",0.00171568965316135,19707.105,97.49,"54.04628",12.9286978875377
"24","Australia","AU","IT","Italy",0.0608476015867478,23236.867,89.4,"32.38827",11.1444384153689
"25","Australia","AU","JP","Japan",0.0493965925852092,11049.96,99.39,"71.39328",9.06627817310641
"26","Australia","AU","KR","Korea, Republic of",0.00420969587333163,11268.963,98.31,"86.02325",NA
"27","Australia","AU","MY","Malaysia",0.00353741698575172,6904.49,98.51,"95.21555",22.1006833075241
"28","Australia","AU","MT","Malta",0.000945856100506754,22886.16,99.49,"59.84981",16.8272685060821
"29","Australia","AU","MX","Mexico",0.00443025424654397,23224.072,92.25,"81.54753",32.4079980416846
"30","Australia","AU","MA","Morocco",0.00127775403711955,25996.967,94.87,"75.72318",44.0281348346485
"31","Australia","AU","NL","Netherlands",0.0116047636367107,23964.416,63.22,"48.13523",4.51003409725429
"32","Australia","AU","NZ","New Zealand",0.0239761796956931,6393.182,0,"18.1659",9.1095684425144
"33","Australia","AU","NO","Norway",0.00307615308023553,22352.922,64.19,"57.23635",25.2842378249136
"34","Australia","AU","PE","Peru",0.0010370485048157,24107.025,92.25,"88.97752",38.593070213387
"35","Australia","AU","PH","Philippines",0.0048225936604313,7386.705,102.13,"82.37718",44.6585090358007
"36","Australia","AU","PL","Poland",0.00225860257183788,22456.834,94.5,"60.80296",23.181030707934
"37","Australia","AU","PT","Portugal",0.00630287966526025,26018.807,95.45,"91.6897",18.7731165463427
"38","Australia","AU","RO","Romania",0.000560939324179454,21704.963,85.22,"91.6406",29.6369130025232
"39","Australia","AU","RU","Russian Federation",0.000494135586139179,16793.61,93.3,"91.7115",22.1039901444527
"40","Australia","AU","SG","Singapore",0.00607065714731073,7160.555,101.27,"91.44397",46.9211375341178
"41","Australia","AU","SI","Slovenia",0.00103492775122712,22944.037,90.46,"91.2524",16.8760521712673
"42","Australia","AU","ZA","South Africa",0.00239433080150701,16461.186,99.52,"28.3196",37.3155969334051
"43","Australia","AU","ES","Spain",0.0284499093908029,25280.752,92.25,"59.56509",12.950890867197
"44","Australia","AU","SE","Sweden",0.00250142885773031,22444.568,66.26,"63.29297",1.51414703707919
"45","Australia","AU","CH","Switzerland",0.00400292239844506,23772.586,73.66,"24.85961",16.0764237085359
"46","Australia","AU","TH","Thailand",0.00695501139374865,9025.471,101.22,"81.12952",34.0667430284589
"47","Australia","AU","TR","Turkey",0.00399656013767932,20111.771,101.04,"71.56116",29.8808043237519
"48","Australia","AU","UA","Ukraine",0.000150573504789192,21029.244,95.59,"45.92002",42.6086687462917
"49","Australia","AU","AE","United Arab Emirates",0.000963882506009685,16467.645,98.03,"74.56119",28.6893480604071
"50","Australia","AU","GB","United Kingdom",0.0537388355578271,24711.64,0,"16.8226",5.03571537332436
"51","Australia","AU","US","United States",0.0980731893270955,24619.34,0,"6.557438",12.9279819066258
